,Reg,Pro,,,
Animal Crossing: New Leaf,$8.00,$8.80,,,
Luigi's Mansion: Dark Moon,$6.00,$6.60,,,
Monster Hunter 4: Ultimate,$7.00,$7.70,,,
Kirby: Triple Deluxe,$8.00,$8.80,,,
Pokemon Sun,$8.00,$8.80,,,
A Hat in Time,$12.00,$13.20,,,
Bloodstained: Ritual of the Night,$8.00,$8.80,,,
Luigi's Mansion 3,$27.00,$29.70,,,
Paper Mario: The Origami King,$27.00,$29.70,,,
Persona 5: Strikers,$13.00,$14.30,,,
Rayman Legends: Definitive Edition,$10.00,$11.00,,,
Super Mario Maker 2,$30.00,$33.00,,,
Total,$164.00,$180.40,,,
,,,,,
,,,,,
